Epoch [1], g:4.52e-01, h:1.73e+02, r:0.00e+00, acc:9.31e-01
Epoch [2], g:1.45e-01, h:4.61e+01, r:0.00e+00, acc:9.56e-01
Epoch [3], g:1.03e-01, h:3.22e+01, r:0.00e+00, acc:9.61e-01
Epoch [4], g:8.02e-02, h:2.47e+01, r:0.00e+00, acc:9.66e-01
Epoch [5], g:6.47e-02, h:1.94e+01, r:0.00e+00, acc:9.70e-01
Epoch [6], g:5.36e-02, h:1.66e+01, r:0.00e+00, acc:9.68e-01
Epoch [7], g:4.76e-02, h:1.39e+01, r:0.00e+00, acc:9.68e-01
Epoch [8], g:3.96e-02, h:1.21e+01, r:0.00e+00, acc:9.69e-01
Epoch [9], g:3.36e-02, h:1.06e+01, r:0.00e+00, acc:9.74e-01
Epoch [10], g:2.84e-02, h:9.12e+00, r:0.00e+00, acc:9.76e-01
Epoch [11], g:2.48e-02, h:7.92e+00, r:0.00e+00, acc:9.75e-01
Epoch [12], g:2.35e-02, h:7.47e+00, r:0.00e+00, acc:9.72e-01
Epoch [13], g:1.90e-02, h:6.50e+00, r:0.00e+00, acc:9.78e-01
Epoch [14], g:1.82e-02, h:5.81e+00, r:0.00e+00, acc:9.75e-01
Epoch [15], g:1.58e-02, h:5.55e+00, r:0.00e+00, acc:9.75e-01
Epoch [16], g:1.54e-02, h:4.84e+00, r:0.00e+00, acc:9.77e-01
Epoch [17], g:1.22e-02, h:4.30e+00, r:0.00e+00, acc:9.76e-01
Epoch [18], g:1.05e-02, h:3.92e+00, r:0.00e+00, acc:9.77e-01
Epoch [19], g:1.02e-02, h:3.69e+00, r:0.00e+00, acc:9.77e-01
Epoch [20], g:8.26e-03, h:3.32e+00, r:0.00e+00, acc:9.77e-01
Epoch [21], g:5.51e-03, h:2.66e+00, r:0.00e+00, acc:9.77e-01
Epoch [22], g:5.91e-03, h:2.57e+00, r:0.00e+00, acc:9.80e-01
Epoch [23], g:7.01e-03, h:2.66e+00, r:0.00e+00, acc:9.77e-01
Epoch [24], g:7.64e-03, h:2.71e+00, r:0.00e+00, acc:9.77e-01
Epoch [25], g:4.75e-03, h:2.34e+00, r:0.00e+00, acc:9.78e-01
Epoch [26], g:7.29e-03, h:2.43e+00, r:0.00e+00, acc:9.78e-01
Epoch [27], g:6.62e-03, h:2.31e+00, r:0.00e+00, acc:9.78e-01
Epoch [28], g:4.66e-03, h:2.02e+00, r:0.00e+00, acc:9.79e-01
Epoch [29], g:6.68e-03, h:2.10e+00, r:0.00e+00, acc:9.76e-01
Epoch [30], g:2.92e-03, h:1.70e+00, r:0.00e+00, acc:9.80e-01
Epoch [31], g:1.22e-03, h:1.15e+00, r:0.00e+00, acc:9.82e-01
Epoch [32], g:8.92e-04, h:1.06e+00, r:0.00e+00, acc:9.81e-01
Epoch [33], g:1.17e-03, h:1.12e+00, r:0.00e+00, acc:9.81e-01
Epoch [34], g:7.27e-04, h:9.57e-01, r:0.00e+00, acc:9.82e-01
Epoch [35], g:3.68e-04, h:8.38e-01, r:0.00e+00, acc:9.82e-01
Epoch [36], g:2.34e-04, h:7.09e-01, r:0.00e+00, acc:9.82e-01
Epoch [37], g:1.86e-04, h:6.87e-01, r:0.00e+00, acc:9.82e-01
Epoch [38], g:1.44e-04, h:6.20e-01, r:0.00e+00, acc:9.82e-01
Epoch [39], g:1.22e-04, h:6.13e-01, r:0.00e+00, acc:9.82e-01
Epoch [40], g:1.10e-04, h:5.94e-01, r:0.00e+00, acc:9.82e-01
Epoch [41], g:1.13e-04, h:5.89e-01, r:0.00e+00, acc:9.82e-01
Epoch [42], g:1.26e-04, h:6.14e-01, r:0.00e+00, acc:9.82e-01
Epoch [43], g:1.05e-04, h:5.76e-01, r:0.00e+00, acc:9.82e-01
Epoch [44], g:1.06e-04, h:5.73e-01, r:0.00e+00, acc:9.82e-01
Epoch [45], g:9.05e-05, h:5.66e-01, r:0.00e+00, acc:9.83e-01
Epoch [46], g:1.08e-04, h:5.38e-01, r:0.00e+00, acc:9.83e-01
Epoch [47], g:9.65e-05, h:5.56e-01, r:0.00e+00, acc:9.83e-01
Epoch [48], g:8.69e-05, h:5.26e-01, r:0.00e+00, acc:9.82e-01
Epoch [49], g:9.01e-05, h:5.23e-01, r:0.00e+00, acc:9.82e-01
Epoch [50], g:1.21e-04, h:5.27e-01, r:0.00e+00, acc:9.82e-01
Epoch [51], g:6.99e-05, h:5.30e-01, r:0.00e+00, acc:9.82e-01
Epoch [52], g:6.68e-05, h:5.17e-01, r:0.00e+00, acc:9.82e-01
Epoch [53], g:6.59e-05, h:4.82e-01, r:0.00e+00, acc:9.82e-01
Epoch [54], g:9.48e-05, h:5.31e-01, r:0.00e+00, acc:9.81e-01
Epoch [55], g:5.82e-05, h:5.06e-01, r:0.00e+00, acc:9.82e-01
Epoch [56], g:6.96e-05, h:4.82e-01, r:0.00e+00, acc:9.82e-01
Epoch [57], g:5.43e-05, h:4.80e-01, r:0.00e+00, acc:9.82e-01
Epoch [58], g:5.99e-05, h:4.87e-01, r:0.00e+00, acc:9.82e-01
Epoch [59], g:6.75e-05, h:5.01e-01, r:0.00e+00, acc:9.82e-01
Epoch [60], g:5.05e-05, h:4.77e-01, r:0.00e+00, acc:9.82e-01
Epoch [61], g:5.65e-05, h:4.78e-01, r:0.00e+00, acc:9.82e-01
Epoch [62], g:5.21e-05, h:4.58e-01, r:0.00e+00, acc:9.82e-01
Epoch [63], g:4.87e-05, h:4.77e-01, r:0.00e+00, acc:9.82e-01
Epoch [64], g:6.21e-05, h:4.71e-01, r:0.00e+00, acc:9.82e-01
Epoch [65], g:5.70e-05, h:4.76e-01, r:0.00e+00, acc:9.83e-01
Epoch [66], g:4.82e-05, h:4.41e-01, r:0.00e+00, acc:9.82e-01
Epoch [67], g:4.65e-05, h:4.58e-01, r:0.00e+00, acc:9.82e-01
Epoch [68], g:4.58e-05, h:4.53e-01, r:0.00e+00, acc:9.82e-01
Epoch [69], g:3.95e-05, h:4.29e-01, r:0.00e+00, acc:9.82e-01
Epoch [70], g:4.00e-05, h:4.48e-01, r:0.00e+00, acc:9.82e-01
Epoch [71], g:4.79e-05, h:4.52e-01, r:0.00e+00, acc:9.82e-01
Epoch [72], g:4.59e-05, h:4.52e-01, r:0.00e+00, acc:9.82e-01
Epoch [73], g:4.09e-05, h:4.40e-01, r:0.00e+00, acc:9.82e-01
Epoch [74], g:5.13e-05, h:4.25e-01, r:0.00e+00, acc:9.82e-01
Epoch [75], g:3.82e-05, h:4.56e-01, r:0.00e+00, acc:9.83e-01
Epoch [76], g:6.27e-05, h:4.36e-01, r:0.00e+00, acc:9.82e-01
Epoch [77], g:5.77e-05, h:4.53e-01, r:0.00e+00, acc:9.82e-01
Epoch [78], g:8.26e-05, h:4.72e-01, r:0.00e+00, acc:9.81e-01
Epoch [79], g:4.22e-05, h:4.32e-01, r:0.00e+00, acc:9.82e-01
Epoch [80], g:7.35e-05, h:4.31e-01, r:0.00e+00, acc:9.82e-01
Epoch [81], g:4.11e-05, h:4.16e-01, r:0.00e+00, acc:9.82e-01
Epoch [82], g:3.82e-05, h:4.58e-01, r:0.00e+00, acc:9.82e-01
Epoch [83], g:4.62e-05, h:4.38e-01, r:0.00e+00, acc:9.82e-01
Epoch [84], g:3.70e-05, h:4.20e-01, r:0.00e+00, acc:9.82e-01
Epoch [85], g:3.74e-05, h:4.30e-01, r:0.00e+00, acc:9.82e-01
Epoch [86], g:3.02e-05, h:4.31e-01, r:0.00e+00, acc:9.82e-01
Epoch [87], g:3.82e-05, h:4.18e-01, r:0.00e+00, acc:9.82e-01
Epoch [88], g:3.06e-05, h:3.99e-01, r:0.00e+00, acc:9.82e-01
Epoch [89], g:2.72e-05, h:4.23e-01, r:0.00e+00, acc:9.82e-01
Epoch [90], g:3.10e-05, h:4.14e-01, r:0.00e+00, acc:9.82e-01
Epoch [91], g:2.98e-05, h:4.19e-01, r:0.00e+00, acc:9.82e-01
Epoch [92], g:2.87e-05, h:4.02e-01, r:0.00e+00, acc:9.82e-01
Epoch [93], g:2.52e-05, h:4.19e-01, r:0.00e+00, acc:9.82e-01
Epoch [94], g:2.56e-05, h:3.88e-01, r:0.00e+00, acc:9.82e-01
Epoch [95], g:2.38e-05, h:3.95e-01, r:0.00e+00, acc:9.82e-01
Epoch [96], g:2.87e-05, h:3.97e-01, r:0.00e+00, acc:9.82e-01
Epoch [97], g:3.67e-05, h:4.23e-01, r:0.00e+00, acc:9.82e-01
Epoch [98], g:2.69e-05, h:3.96e-01, r:0.00e+00, acc:9.82e-01
Epoch [99], g:3.14e-05, h:4.20e-01, r:0.00e+00, acc:9.82e-01
Epoch [100], g:2.25e-05, h:4.08e-01, r:0.00e+00, acc:9.82e-01
Epoch [101], g:2.68e-05, h:3.97e-01, r:0.00e+00, acc:9.81e-01
Epoch [102], g:3.25e-05, h:3.94e-01, r:0.00e+00, acc:9.82e-01
Epoch [103], g:2.49e-05, h:3.87e-01, r:0.00e+00, acc:9.82e-01
Epoch [104], g:3.88e-05, h:4.01e-01, r:0.00e+00, acc:9.81e-01
Epoch [105], g:2.64e-05, h:4.00e-01, r:0.00e+00, acc:9.81e-01
Epoch [106], g:2.20e-05, h:3.81e-01, r:0.00e+00, acc:9.81e-01
Epoch [107], g:2.22e-05, h:3.93e-01, r:0.00e+00, acc:9.82e-01
Epoch [108], g:2.35e-05, h:3.96e-01, r:0.00e+00, acc:9.82e-01
Epoch [109], g:2.14e-05, h:3.70e-01, r:0.00e+00, acc:9.82e-01
Epoch [110], g:2.65e-05, h:3.84e-01, r:0.00e+00, acc:9.82e-01
Epoch [111], g:2.23e-05, h:3.63e-01, r:0.00e+00, acc:9.82e-01
Epoch [112], g:2.29e-05, h:3.76e-01, r:0.00e+00, acc:9.82e-01
Epoch [113], g:2.25e-05, h:3.67e-01, r:0.00e+00, acc:9.82e-01
Epoch [114], g:2.10e-05, h:3.75e-01, r:0.00e+00, acc:9.82e-01
Epoch [115], g:2.03e-05, h:3.97e-01, r:0.00e+00, acc:9.82e-01
Epoch [116], g:2.03e-05, h:3.70e-01, r:0.00e+00, acc:9.82e-01
Epoch [117], g:2.19e-05, h:3.97e-01, r:0.00e+00, acc:9.81e-01
Epoch [118], g:2.42e-05, h:3.92e-01, r:0.00e+00, acc:9.82e-01
Epoch [119], g:1.74e-05, h:3.66e-01, r:0.00e+00, acc:9.82e-01
Epoch [120], g:2.17e-05, h:3.76e-01, r:0.00e+00, acc:9.82e-01
Epoch [121], g:1.87e-05, h:3.72e-01, r:0.00e+00, acc:9.81e-01
Epoch [122], g:2.06e-05, h:3.73e-01, r:0.00e+00, acc:9.82e-01
Epoch [123], g:1.95e-05, h:3.45e-01, r:0.00e+00, acc:9.81e-01
Epoch [124], g:1.75e-05, h:3.65e-01, r:0.00e+00, acc:9.81e-01
Epoch [125], g:1.79e-05, h:3.64e-01, r:0.00e+00, acc:9.82e-01
Epoch [126], g:2.08e-05, h:3.90e-01, r:0.00e+00, acc:9.82e-01
Epoch [127], g:2.15e-05, h:3.65e-01, r:0.00e+00, acc:9.82e-01
Epoch [128], g:1.81e-05, h:3.85e-01, r:0.00e+00, acc:9.82e-01
Epoch [129], g:1.80e-05, h:3.68e-01, r:0.00e+00, acc:9.82e-01
Epoch [130], g:2.35e-05, h:3.80e-01, r:0.00e+00, acc:9.82e-01
Epoch [131], g:1.99e-05, h:3.77e-01, r:0.00e+00, acc:9.82e-01
Epoch [132], g:1.78e-05, h:3.65e-01, r:0.00e+00, acc:9.82e-01
Epoch [133], g:2.18e-05, h:3.82e-01, r:0.00e+00, acc:9.82e-01
Epoch [134], g:1.57e-05, h:3.51e-01, r:0.00e+00, acc:9.82e-01
Epoch [135], g:1.54e-05, h:3.96e-01, r:0.00e+00, acc:9.82e-01
Epoch [136], g:1.80e-05, h:3.64e-01, r:0.00e+00, acc:9.82e-01
Epoch [137], g:1.73e-05, h:3.53e-01, r:0.00e+00, acc:9.82e-01
Epoch [138], g:1.65e-05, h:3.51e-01, r:0.00e+00, acc:9.82e-01
Epoch [139], g:2.39e-05, h:3.79e-01, r:0.00e+00, acc:9.82e-01
Epoch [140], g:1.81e-05, h:3.75e-01, r:0.00e+00, acc:9.82e-01
Epoch [141], g:1.61e-05, h:3.58e-01, r:0.00e+00, acc:9.82e-01
Epoch [142], g:1.96e-05, h:3.81e-01, r:0.00e+00, acc:9.82e-01
Epoch [143], g:1.67e-05, h:3.74e-01, r:0.00e+00, acc:9.82e-01
Epoch [144], g:1.75e-05, h:3.53e-01, r:0.00e+00, acc:9.82e-01
Epoch [145], g:1.65e-05, h:3.66e-01, r:0.00e+00, acc:9.82e-01
Epoch [146], g:1.73e-05, h:3.61e-01, r:0.00e+00, acc:9.81e-01
Epoch [147], g:1.56e-05, h:3.50e-01, r:0.00e+00, acc:9.82e-01
Epoch [148], g:1.55e-05, h:3.56e-01, r:0.00e+00, acc:9.82e-01
Epoch [149], g:2.87e-05, h:3.85e-01, r:0.00e+00, acc:9.81e-01
Epoch [150], g:1.34e-05, h:3.56e-01, r:0.00e+00, acc:9.81e-01
Epoch [151], g:1.58e-05, h:3.39e-01, r:0.00e+00, acc:9.82e-01
Epoch [152], g:1.73e-05, h:3.53e-01, r:0.00e+00, acc:9.82e-01
Epoch [153], g:1.82e-05, h:3.65e-01, r:0.00e+00, acc:9.81e-01
Epoch [154], g:1.43e-05, h:3.63e-01, r:0.00e+00, acc:9.82e-01
Epoch [155], g:1.78e-05, h:3.64e-01, r:0.00e+00, acc:9.82e-01
Epoch [156], g:1.87e-05, h:3.38e-01, r:0.00e+00, acc:9.82e-01
Epoch [157], g:1.63e-05, h:3.57e-01, r:0.00e+00, acc:9.82e-01
Epoch [158], g:1.54e-05, h:3.44e-01, r:0.00e+00, acc:9.82e-01
Epoch [159], g:1.38e-05, h:3.38e-01, r:0.00e+00, acc:9.82e-01
Epoch [160], g:1.19e-05, h:3.48e-01, r:0.00e+00, acc:9.82e-01
