runid: 20200905181410, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5471858, acc_std: 0.02451204, cv_fold: 5
runid: 20200905182236, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5882837, acc_std: 0.026664384, cv_fold: 5
runid: 20200905183106, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.56200063, acc_std: 0.030023895, cv_fold: 5
runid: 20200905184015, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5788448, acc_std: 0.020003287, cv_fold: 5
runid: 20200905184925, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5128106, acc_std: 0.019859727, cv_fold: 5
runid: 20200905185738, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.58354264, acc_std: 0.030076804, cv_fold: 5
runid: 20200905190555, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5410956, acc_std: 0.021218719, cv_fold: 5
runid: 20200905191418, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5930158, acc_std: 0.02227744, cv_fold: 5
runid: 20200905192236, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.5444922, acc_std: 0.02710013, cv_fold: 5
runid: 20200905193102, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.5849099, acc_std: 0.016844107, cv_fold: 5
