Epoch [1], g:2.30e-01, h:3.61e+02, r:0.00e+00, acc:7.84e-01
Epoch [2], g:1.17e-01, h:1.29e+02, r:0.00e+00, acc:8.18e-01
Epoch [3], g:1.04e-01, h:1.05e+02, r:0.00e+00, acc:8.03e-01
Epoch [4], g:9.59e-02, h:9.65e+01, r:0.00e+00, acc:8.32e-01
Epoch [5], g:8.99e-02, h:8.90e+01, r:0.00e+00, acc:8.19e-01
Epoch [6], g:8.43e-02, h:8.31e+01, r:0.00e+00, acc:8.22e-01
Epoch [7], g:8.06e-02, h:7.93e+01, r:0.00e+00, acc:8.41e-01
Epoch [8], g:7.60e-02, h:7.50e+01, r:0.00e+00, acc:8.40e-01
Epoch [9], g:7.37e-02, h:7.13e+01, r:0.00e+00, acc:8.24e-01
Epoch [10], g:6.98e-02, h:6.86e+01, r:0.00e+00, acc:8.42e-01
Epoch [11], g:6.82e-02, h:6.50e+01, r:0.00e+00, acc:8.34e-01
Epoch [12], g:6.39e-02, h:6.19e+01, r:0.00e+00, acc:8.45e-01
Epoch [13], g:6.10e-02, h:5.82e+01, r:0.00e+00, acc:8.50e-01
Epoch [14], g:5.98e-02, h:5.80e+01, r:0.00e+00, acc:8.50e-01
Epoch [15], g:5.81e-02, h:5.49e+01, r:0.00e+00, acc:8.29e-01
Epoch [16], g:5.48e-02, h:5.33e+01, r:0.00e+00, acc:8.44e-01
Epoch [17], g:5.52e-02, h:5.15e+01, r:0.00e+00, acc:8.36e-01
Epoch [18], g:5.12e-02, h:4.93e+01, r:0.00e+00, acc:8.41e-01
Epoch [19], g:4.91e-02, h:4.76e+01, r:0.00e+00, acc:8.47e-01
Epoch [20], g:4.72e-02, h:4.50e+01, r:0.00e+00, acc:8.37e-01
Epoch [21], g:4.32e-02, h:4.37e+01, r:0.00e+00, acc:8.42e-01
Epoch [22], g:4.39e-02, h:4.19e+01, r:0.00e+00, acc:8.37e-01
Epoch [23], g:4.20e-02, h:4.09e+01, r:0.00e+00, acc:8.37e-01
Epoch [24], g:4.05e-02, h:4.04e+01, r:0.00e+00, acc:8.43e-01
Epoch [25], g:3.75e-02, h:3.75e+01, r:0.00e+00, acc:8.46e-01
Epoch [26], g:3.67e-02, h:3.67e+01, r:0.00e+00, acc:8.21e-01
Epoch [27], g:3.44e-02, h:3.54e+01, r:0.00e+00, acc:8.49e-01
Epoch [28], g:3.48e-02, h:3.45e+01, r:0.00e+00, acc:8.44e-01
Epoch [29], g:3.42e-02, h:3.31e+01, r:0.00e+00, acc:8.28e-01
Epoch [30], g:3.19e-02, h:3.26e+01, r:0.00e+00, acc:8.13e-01
Epoch [31], g:3.20e-02, h:3.25e+01, r:0.00e+00, acc:8.39e-01
Epoch [32], g:2.82e-02, h:3.06e+01, r:0.00e+00, acc:8.15e-01
Epoch [33], g:2.61e-02, h:2.89e+01, r:0.00e+00, acc:8.43e-01
