Epoch [1], g:5.39e-01, h:1.91e+02, r:0.00e+00, acc:8.32e-01
Epoch [2], g:3.21e-01, h:9.43e+01, r:0.00e+00, acc:8.47e-01
Epoch [3], g:2.95e-01, h:8.47e+01, r:0.00e+00, acc:8.39e-01
Epoch [4], g:2.72e-01, h:7.88e+01, r:0.00e+00, acc:8.46e-01
Epoch [5], g:2.56e-01, h:7.29e+01, r:0.00e+00, acc:8.37e-01
Epoch [6], g:2.43e-01, h:6.96e+01, r:0.00e+00, acc:8.71e-01
Epoch [7], g:2.31e-01, h:6.59e+01, r:0.00e+00, acc:8.65e-01
Epoch [8], g:2.24e-01, h:6.32e+01, r:0.00e+00, acc:8.61e-01
Epoch [9], g:2.12e-01, h:6.07e+01, r:0.00e+00, acc:8.69e-01
Epoch [10], g:2.04e-01, h:5.81e+01, r:0.00e+00, acc:8.68e-01
Epoch [11], g:1.95e-01, h:5.54e+01, r:0.00e+00, acc:8.59e-01
Epoch [12], g:1.92e-01, h:5.43e+01, r:0.00e+00, acc:8.77e-01
Epoch [13], g:1.84e-01, h:5.22e+01, r:0.00e+00, acc:8.74e-01
Epoch [14], g:1.75e-01, h:4.98e+01, r:0.00e+00, acc:8.69e-01
Epoch [15], g:1.70e-01, h:4.85e+01, r:0.00e+00, acc:8.79e-01
Epoch [16], g:1.65e-01, h:4.65e+01, r:0.00e+00, acc:8.76e-01
Epoch [17], g:1.59e-01, h:4.53e+01, r:0.00e+00, acc:8.64e-01
Epoch [18], g:1.57e-01, h:4.40e+01, r:0.00e+00, acc:8.66e-01
Epoch [19], g:1.49e-01, h:4.23e+01, r:0.00e+00, acc:8.67e-01
Epoch [20], g:1.40e-01, h:4.04e+01, r:0.00e+00, acc:8.74e-01
Epoch [21], g:1.37e-01, h:3.90e+01, r:0.00e+00, acc:8.80e-01
Epoch [22], g:1.33e-01, h:3.75e+01, r:0.00e+00, acc:8.70e-01
Epoch [23], g:1.29e-01, h:3.69e+01, r:0.00e+00, acc:8.80e-01
Epoch [24], g:1.24e-01, h:3.56e+01, r:0.00e+00, acc:8.72e-01
Epoch [25], g:1.23e-01, h:3.46e+01, r:0.00e+00, acc:8.81e-01
Epoch [26], g:1.15e-01, h:3.31e+01, r:0.00e+00, acc:8.77e-01
Epoch [27], g:1.08e-01, h:3.12e+01, r:0.00e+00, acc:8.77e-01
