runid: 20200905214402, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.98945457, acc_std: 0.0012331497, cv_fold: 5
runid: 20200905215804, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.97890913, acc_std: 0.0032218231, cv_fold: 5
runid: 20200905221144, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.99054545, acc_std: 0.0014770963, cv_fold: 5
runid: 20200905222532, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9836364, acc_std: 0.0022268067, cv_fold: 5
runid: 20200905223912, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9903637, acc_std: 0.0023425613, cv_fold: 5
runid: 20200905225256, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.98036367, acc_std: 0.0032828099, cv_fold: 5
runid: 20200905230634, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.99127275, acc_std: 0.0018719311, cv_fold: 5
runid: 20200905232021, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.9810909, acc_std: 0.0043179384, cv_fold: 5
runid: 20200905233412, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.9909091, acc_std: 0.0027574066, cv_fold: 5
runid: 20200905234757, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.7, acc_avg: 0.98381823, acc_std: 0.0012060442, cv_fold: 5
runid: 20200906000204, beta: 0.0, model: linear, fsp_iden: True, epoch: 500, use_norm: True, fix_data_seed: False, fix_train_seed: False, p: 0.1, acc_avg: 0.98945457, acc_std: 0.002733324, cv_fold: 5
