Files already downloaded and verified
Files already downloaded and verified
Epoch [73], g:4.87e-06, h:9.21e-01, r:0.00e+00, acc:8.66e-01
Epoch [74], g:4.76e-06, h:9.11e-01, r:0.00e+00, acc:8.66e-01
Epoch [75], g:4.65e-06, h:8.99e-01, r:0.00e+00, acc:8.66e-01
Epoch [76], g:4.55e-06, h:8.92e-01, r:0.00e+00, acc:8.66e-01
Epoch [77], g:4.45e-06, h:8.82e-01, r:0.00e+00, acc:8.66e-01
Epoch [78], g:4.36e-06, h:8.73e-01, r:0.00e+00, acc:8.66e-01
Epoch [79], g:4.27e-06, h:8.61e-01, r:0.00e+00, acc:8.66e-01
Epoch [80], g:4.18e-06, h:8.54e-01, r:0.00e+00, acc:8.66e-01
Epoch [81], g:4.10e-06, h:8.44e-01, r:0.00e+00, acc:8.66e-01
Epoch [82], g:4.01e-06, h:8.31e-01, r:0.00e+00, acc:8.66e-01
Epoch [83], g:3.93e-06, h:8.23e-01, r:0.00e+00, acc:8.66e-01
Epoch [84], g:3.87e-06, h:8.18e-01, r:0.00e+00, acc:8.66e-01
Epoch [85], g:3.80e-06, h:8.09e-01, r:0.00e+00, acc:8.66e-01
Epoch [86], g:3.73e-06, h:7.98e-01, r:0.00e+00, acc:8.66e-01
Epoch [87], g:3.66e-06, h:7.91e-01, r:0.00e+00, acc:8.66e-01
Epoch [88], g:3.60e-06, h:7.83e-01, r:0.00e+00, acc:8.66e-01
Epoch [89], g:3.53e-06, h:7.74e-01, r:0.00e+00, acc:8.66e-01
Epoch [90], g:3.47e-06, h:7.67e-01, r:0.00e+00, acc:8.66e-01
Epoch [91], g:3.41e-06, h:7.59e-01, r:0.00e+00, acc:8.66e-01
Epoch [92], g:3.35e-06, h:7.51e-01, r:0.00e+00, acc:8.66e-01
Epoch [93], g:3.30e-06, h:7.42e-01, r:0.00e+00, acc:8.66e-01
Epoch [94], g:3.24e-06, h:7.35e-01, r:0.00e+00, acc:8.66e-01
Epoch [95], g:3.19e-06, h:7.27e-01, r:0.00e+00, acc:8.66e-01
Epoch [96], g:3.13e-06, h:7.17e-01, r:0.00e+00, acc:8.66e-01
Epoch [97], g:3.09e-06, h:7.12e-01, r:0.00e+00, acc:8.66e-01
Epoch [98], g:3.04e-06, h:7.04e-01, r:0.00e+00, acc:8.66e-01
Epoch [99], g:3.00e-06, h:6.96e-01, r:0.00e+00, acc:8.66e-01
Epoch [100], g:2.95e-06, h:6.90e-01, r:0.00e+00, acc:8.66e-01
Epoch [101], g:2.90e-06, h:6.82e-01, r:0.00e+00, acc:8.66e-01
Epoch [102], g:2.86e-06, h:6.76e-01, r:0.00e+00, acc:8.66e-01
Epoch [103], g:2.82e-06, h:6.68e-01, r:0.00e+00, acc:8.66e-01
Epoch [104], g:2.78e-06, h:6.58e-01, r:0.00e+00, acc:8.66e-01
Epoch [105], g:2.74e-06, h:6.54e-01, r:0.00e+00, acc:8.66e-01
Epoch [106], g:2.71e-06, h:6.46e-01, r:0.00e+00, acc:8.66e-01
Epoch [107], g:2.67e-06, h:6.42e-01, r:0.00e+00, acc:8.66e-01
Epoch [108], g:2.63e-06, h:6.35e-01, r:0.00e+00, acc:8.66e-01
Epoch [109], g:2.60e-06, h:6.29e-01, r:0.00e+00, acc:8.66e-01
