Files already downloaded and verified
Files already downloaded and verified
Epoch [1], g:1.36e+00, h:3.90e+02, r:0.00e+00, acc:3.59e-01
Epoch [2], g:1.15e+00, h:3.12e+02, r:0.00e+00, acc:4.60e-01
Epoch [3], g:9.51e-01, h:2.52e+02, r:0.00e+00, acc:5.95e-01
Epoch [4], g:7.59e-01, h:1.97e+02, r:0.00e+00, acc:6.87e-01
Epoch [5], g:6.36e-01, h:1.63e+02, r:0.00e+00, acc:7.18e-01
Epoch [6], g:5.32e-01, h:1.37e+02, r:0.00e+00, acc:7.69e-01
Epoch [7], g:4.52e-01, h:1.15e+02, r:0.00e+00, acc:7.94e-01
Epoch [8], g:3.79e-01, h:9.68e+01, r:0.00e+00, acc:7.97e-01
Epoch [9], g:3.21e-01, h:8.30e+01, r:0.00e+00, acc:8.22e-01
Epoch [10], g:2.59e-01, h:6.74e+01, r:0.00e+00, acc:8.30e-01
Epoch [11], g:2.04e-01, h:5.47e+01, r:0.00e+00, acc:8.26e-01
Epoch [12], g:1.70e-01, h:4.58e+01, r:0.00e+00, acc:8.34e-01
Epoch [13], g:1.24e-01, h:3.56e+01, r:0.00e+00, acc:8.31e-01
Epoch [14], g:8.76e-02, h:2.64e+01, r:0.00e+00, acc:8.32e-01
Epoch [15], g:7.47e-02, h:2.24e+01, r:0.00e+00, acc:8.33e-01
Epoch [16], g:5.93e-02, h:1.85e+01, r:0.00e+00, acc:8.34e-01
Epoch [17], g:5.91e-02, h:1.72e+01, r:0.00e+00, acc:8.34e-01
Epoch [18], g:4.42e-02, h:1.46e+01, r:0.00e+00, acc:8.37e-01
Epoch [19], g:3.34e-02, h:1.20e+01, r:0.00e+00, acc:8.44e-01
Epoch [20], g:2.60e-02, h:9.49e+00, r:0.00e+00, acc:8.33e-01
Epoch [21], g:3.95e-02, h:1.21e+01, r:0.00e+00, acc:8.48e-01
Epoch [22], g:1.64e-02, h:7.22e+00, r:0.00e+00, acc:8.41e-01
Epoch [23], g:2.52e-02, h:8.71e+00, r:0.00e+00, acc:8.45e-01
Epoch [24], g:1.44e-02, h:6.46e+00, r:0.00e+00, acc:8.47e-01
Epoch [25], g:1.11e-02, h:5.60e+00, r:0.00e+00, acc:8.53e-01
Epoch [26], g:1.85e-02, h:6.17e+00, r:0.00e+00, acc:8.45e-01
Epoch [27], g:1.72e-02, h:6.67e+00, r:0.00e+00, acc:8.45e-01
Epoch [28], g:9.30e-03, h:5.15e+00, r:0.00e+00, acc:8.52e-01
Epoch [29], g:1.92e-03, h:3.05e+00, r:0.00e+00, acc:8.59e-01
Epoch [30], g:1.93e-04, h:1.96e+00, r:0.00e+00, acc:8.63e-01
Epoch [31], g:7.77e-05, h:1.78e+00, r:0.00e+00, acc:8.62e-01
Epoch [32], g:5.34e-05, h:1.69e+00, r:0.00e+00, acc:8.63e-01
