Epoch [73], g:5.13e-06, h:9.10e+00, r:0.00e+00, acc:7.62e-01
Epoch [74], g:4.93e-06, h:8.97e+00, r:0.00e+00, acc:7.61e-01
Epoch [75], g:4.75e-06, h:8.84e+00, r:0.00e+00, acc:7.61e-01
Epoch [76], g:4.56e-06, h:8.73e+00, r:0.00e+00, acc:7.61e-01
Epoch [77], g:4.43e-06, h:8.61e+00, r:0.00e+00, acc:7.61e-01
Epoch [78], g:4.26e-06, h:8.48e+00, r:0.00e+00, acc:7.61e-01
Epoch [79], g:4.11e-06, h:8.38e+00, r:0.00e+00, acc:7.61e-01
Epoch [80], g:3.99e-06, h:8.27e+00, r:0.00e+00, acc:7.61e-01
Epoch [81], g:3.85e-06, h:8.16e+00, r:0.00e+00, acc:7.61e-01
Epoch [82], g:3.72e-06, h:8.05e+00, r:0.00e+00, acc:7.61e-01
Epoch [83], g:3.61e-06, h:7.93e+00, r:0.00e+00, acc:7.61e-01
Epoch [84], g:3.49e-06, h:7.83e+00, r:0.00e+00, acc:7.61e-01
Epoch [85], g:3.39e-06, h:7.72e+00, r:0.00e+00, acc:7.61e-01
Epoch [86], g:3.28e-06, h:7.62e+00, r:0.00e+00, acc:7.61e-01
Epoch [87], g:3.19e-06, h:7.51e+00, r:0.00e+00, acc:7.61e-01
Epoch [88], g:3.07e-06, h:7.42e+00, r:0.00e+00, acc:7.61e-01
Epoch [89], g:3.00e-06, h:7.31e+00, r:0.00e+00, acc:7.61e-01
Epoch [90], g:2.91e-06, h:7.23e+00, r:0.00e+00, acc:7.61e-01
Epoch [91], g:2.83e-06, h:7.14e+00, r:0.00e+00, acc:7.61e-01
Epoch [92], g:2.74e-06, h:7.03e+00, r:0.00e+00, acc:7.61e-01
Epoch [93], g:2.68e-06, h:6.95e+00, r:0.00e+00, acc:7.61e-01
Epoch [94], g:2.60e-06, h:6.85e+00, r:0.00e+00, acc:7.61e-01
Epoch [95], g:2.52e-06, h:6.77e+00, r:0.00e+00, acc:7.61e-01
Epoch [96], g:2.46e-06, h:6.67e+00, r:0.00e+00, acc:7.61e-01
Epoch [97], g:2.40e-06, h:6.59e+00, r:0.00e+00, acc:7.61e-01
Epoch [98], g:2.34e-06, h:6.50e+00, r:0.00e+00, acc:7.61e-01
Epoch [99], g:2.27e-06, h:6.42e+00, r:0.00e+00, acc:7.61e-01
Epoch [100], g:2.22e-06, h:6.34e+00, r:0.00e+00, acc:7.61e-01
Epoch [101], g:2.16e-06, h:6.26e+00, r:0.00e+00, acc:7.61e-01
Epoch [102], g:2.11e-06, h:6.18e+00, r:0.00e+00, acc:7.61e-01
Epoch [103], g:2.06e-06, h:6.10e+00, r:0.00e+00, acc:7.61e-01
Epoch [104], g:2.01e-06, h:6.02e+00, r:0.00e+00, acc:7.61e-01
Epoch [105], g:1.97e-06, h:5.94e+00, r:0.00e+00, acc:7.60e-01
Epoch [106], g:1.91e-06, h:5.87e+00, r:0.00e+00, acc:7.61e-01
Epoch [107], g:1.87e-06, h:5.79e+00, r:0.00e+00, acc:7.61e-01
Epoch [108], g:1.83e-06, h:5.72e+00, r:0.00e+00, acc:7.61e-01
Epoch [109], g:1.79e-06, h:5.64e+00, r:0.00e+00, acc:7.61e-01
