Epoch [1], g:2.76e-01, h:4.50e+02, r:0.00e+00, acc:5.61e-01
Epoch [2], g:1.34e-01, h:1.63e+02, r:0.00e+00, acc:6.75e-01
Epoch [3], g:9.83e-02, h:1.10e+02, r:0.00e+00, acc:7.08e-01
Epoch [4], g:7.82e-02, h:8.53e+01, r:0.00e+00, acc:7.21e-01
Epoch [5], g:6.49e-02, h:7.03e+01, r:0.00e+00, acc:7.55e-01
Epoch [6], g:5.31e-02, h:5.80e+01, r:0.00e+00, acc:7.49e-01
Epoch [7], g:4.50e-02, h:4.98e+01, r:0.00e+00, acc:7.52e-01
Epoch [8], g:3.90e-02, h:4.19e+01, r:0.00e+00, acc:7.72e-01
Epoch [9], g:3.44e-02, h:3.78e+01, r:0.00e+00, acc:7.72e-01
Epoch [10], g:2.83e-02, h:3.28e+01, r:0.00e+00, acc:7.73e-01
Epoch [11], g:2.31e-02, h:2.90e+01, r:0.00e+00, acc:7.87e-01
Epoch [12], g:2.00e-02, h:2.54e+01, r:0.00e+00, acc:7.91e-01
Epoch [13], g:1.85e-02, h:2.37e+01, r:0.00e+00, acc:7.87e-01
Epoch [14], g:1.25e-02, h:2.08e+01, r:0.00e+00, acc:8.01e-01
Epoch [15], g:1.19e-02, h:1.87e+01, r:0.00e+00, acc:7.94e-01
Epoch [16], g:1.14e-02, h:1.75e+01, r:0.00e+00, acc:7.96e-01
Epoch [17], g:1.24e-02, h:1.66e+01, r:0.00e+00, acc:7.95e-01
Epoch [18], g:1.19e-02, h:1.62e+01, r:0.00e+00, acc:7.96e-01
Epoch [19], g:8.18e-03, h:1.50e+01, r:0.00e+00, acc:7.89e-01
Epoch [20], g:5.46e-03, h:1.35e+01, r:0.00e+00, acc:8.00e-01
Epoch [21], g:5.45e-03, h:1.27e+01, r:0.00e+00, acc:7.98e-01
Epoch [22], g:5.69e-03, h:1.25e+01, r:0.00e+00, acc:7.99e-01
Epoch [23], g:4.33e-03, h:1.14e+01, r:0.00e+00, acc:8.04e-01
Epoch [24], g:5.72e-03, h:1.13e+01, r:0.00e+00, acc:7.96e-01
Epoch [25], g:7.24e-03, h:1.14e+01, r:0.00e+00, acc:7.97e-01
Epoch [26], g:6.56e-03, h:1.11e+01, r:0.00e+00, acc:8.09e-01
Epoch [27], g:3.76e-03, h:1.02e+01, r:0.00e+00, acc:8.06e-01
Epoch [28], g:4.96e-03, h:1.01e+01, r:0.00e+00, acc:7.89e-01
Epoch [29], g:4.05e-03, h:9.99e+00, r:0.00e+00, acc:8.13e-01
Epoch [30], g:2.37e-03, h:9.31e+00, r:0.00e+00, acc:8.15e-01
Epoch [31], g:1.12e-03, h:8.66e+00, r:0.00e+00, acc:8.12e-01
Epoch [32], g:5.62e-04, h:8.13e+00, r:0.00e+00, acc:8.12e-01
Epoch [33], g:3.39e-04, h:7.85e+00, r:0.00e+00, acc:8.14e-01
Epoch [34], g:1.99e-04, h:7.53e+00, r:0.00e+00, acc:8.17e-01
Epoch [35], g:1.86e-04, h:7.41e+00, r:0.00e+00, acc:8.19e-01
Epoch [36], g:1.51e-04, h:7.25e+00, r:0.00e+00, acc:8.18e-01
Epoch [37], g:1.50e-04, h:7.17e+00, r:0.00e+00, acc:8.18e-01
Epoch [38], g:1.20e-04, h:7.22e+00, r:0.00e+00, acc:8.17e-01
Epoch [39], g:1.03e-04, h:6.96e+00, r:0.00e+00, acc:8.18e-01
Epoch [40], g:8.28e-05, h:6.95e+00, r:0.00e+00, acc:8.17e-01
Epoch [41], g:7.84e-05, h:6.86e+00, r:0.00e+00, acc:8.17e-01
Epoch [42], g:8.48e-05, h:6.81e+00, r:0.00e+00, acc:8.17e-01
Epoch [43], g:9.23e-05, h:6.69e+00, r:0.00e+00, acc:8.17e-01
Epoch [44], g:6.98e-05, h:6.70e+00, r:0.00e+00, acc:8.17e-01
Epoch [45], g:7.20e-05, h:6.65e+00, r:0.00e+00, acc:8.16e-01
Epoch [46], g:5.78e-05, h:6.54e+00, r:0.00e+00, acc:8.17e-01
Epoch [47], g:6.76e-05, h:6.55e+00, r:0.00e+00, acc:8.18e-01
Epoch [48], g:5.44e-05, h:6.55e+00, r:0.00e+00, acc:8.17e-01
